Cell_Size,Peak_Value,Peak_Location,FWHM,FWHM_Left_Index,FWHM_Right_Index,Connection,Distance,Integral
1936.0,1.0,38.0,11.6015625,36.515625,48.1171875,0.0,556.4746175702896,181.22427962125442
5574.0,1.0779416801936577,37.0,61.865234375,36.494140625,98.359375,0.0,552.9385137607978,220.85120215700238
3265.0,1.112318761642422,37.0,105.7294921875,36.4580078125,142.1875,0.0,318.65027851862925,220.86138400913194
4365.0,1.0383438917200651,39.0,9.9658203125,37.49560546875,47.46142578125,0.0,729.976027003627,142.95824436264934
1309.0,1.076611390889464,37.0,66.26611328125,36.47607421875,102.7421875,0.0,259.43399931389104,158.56815338694582
1575.0,1.1566090090309515,37.0,97.0361328125,36.3857421875,133.421875,0.0,133.4541119636259,158.3560465921333
2136.0,1.08535998132047,37.0,237.25,36.421875,273.671875,0.0,325.13535642867265,242.46977080064846
4026.0,1.0284507994655434,44.0,22.71875,37.51171875,60.23046875,0.0,791.2243676732916,143.74826216585708
3033.0,1.0815560112609686,37.0,9.271484375,36.494140625,45.765625,0.0,529.0604880351583,142.04603745554374
1394.0,1.5950580763593782,37.0,2.31390380859375,36.29541015625,38.60931396484375,0.0,0.0,31.14487194531533
1805.0,1.052279135200302,37.0,14.75,36.494140625,51.244140625,0.0,269.46613887462746,176.82726634571998
1350.0,1.0091251771012724,37.0,18.5849609375,36.494140625,55.0791015625,0.0,346.62083030308486,180.40041908655687
1838.0,1.1017379761130852,37.0,9.271484375,36.494140625,45.765625,0.0,521.4786668695087,154.22506849733693
2127.0,1.0363146805343075,37.0,18.037109375,36.494140625,54.53125,0.0,308.2239445597957,178.5256755108294
2422.0,1.2067363812438243,37.0,7.6640625,36.4580078125,44.1220703125,0.0,359.02646142032484,136.2529790002649
1396.0,1.0711893055106787,37.0,8.17578125,36.494140625,44.669921875,0.0,198.2145302443794,158.41602877089724
3780.0,1.006986717104589,37.0,53.11767578125,36.47607421875,89.59375,0.0,759.8795957255334,154.50537325412864
1753.0,1.0711893055106787,37.0,8.17578125,36.494140625,44.669921875,0.0,268.80476186258306,158.41602877089724
1505.0,1.0680460522110848,37.0,13.654296875,36.494140625,50.1484375,0.0,279.4351445326804,198.83654361367576
956.0,1.1397648680126875,37.0,7.080078125,36.494140625,43.57421875,0.0,302.4913221895795,177.36253129352232
1448.0,1.0751569429098764,37.0,35.58642578125,36.47607421875,72.0625,0.0,557.8906702930244,193.45823183906361
1437.0,1.0641548922642676,37.0,70.630859375,36.494140625,107.125,0.0,487.46794766425415,233.50223847899508
1894.0,1.0521142280413411,37.0,37.759765625,36.494140625,74.25390625,0.0,572.0314676658969,169.5855023140656
2129.0,1.19495550547089,37.0,18.93115234375,36.421875,55.35302734375,0.0,711.6101460771903,150.49382556412075
2845.0,1.138539182853184,37.0,8.17578125,36.494140625,44.669921875,0.0,463.11337704713304,168.7898521536301
1418.0,1.0390284302775334,37.0,70.630859375,36.494140625,107.125,0.0,553.2630477449221,227.75077392356405
900.0,1.0404736175916027,37.0,12.57666015625,36.47607421875,49.052734375,0.0,557.6844986190669,89.95114894722767
